66.194.6.70 - - [19/Jun/2006:05:32:26 -0400] "GET / HTTP/1.1" 200 16180 "-" "Mozilla/5.0 (compatible; Konqueror/3.0; i686 Linux; 20021207)"
204.221.51.254 - - [19/Jun/2006:18:19:17 -0400] "GET /pix/sidebutton_2d.gif HTTP/1.1" 200 784 "http://menziessearch.com/02candidates/023jobs.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:17 -0400] "GET /pix/back1line.gif HTTP/1.1" 200 67 "http://menziessearch.com/02candidates/023jobs.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:18 -0400] "GET /pix/sidebutton_2d-over.gif HTTP/1.1" 200 725 "http://menziessearch.com/02candidates/023jobs.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:18 -0400] "GET /pix/sidebutton_2a-over.gif HTTP/1.1" 200 1187 "http://menziessearch.com/02candidates/023jobs.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:18 -0400] "GET /pix/sidebutton_2b-over.gif HTTP/1.1" 200 660 "http://menziessearch.com/02candidates/023jobs.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:43 -0400] "GET /01employers.html HTTP/1.1" 200 18137 "http://menziessearch.com/02candidates/023jobs.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:44 -0400] "GET /pix/photo_employer.jpg HTTP/1.1" 200 4582 "http://menziessearch.com/01employers.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:44 -0400] "GET /pix/title_employers.gif HTTP/1.1" 200 1036 "http://menziessearch.com/01employers.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:44 -0400] "GET /pix/3columline.gif HTTP/1.1" 200 193 "http://menziessearch.com/01employers.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:44 -0400] "GET /pix/back2line.gif HTTP/1.1" 200 69 "http://menziessearch.com/01employers.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:44 -0400] "GET /pix/sidebutton_01a.gif HTTP/1.1" 200 1255 "http://menziessearch.com/01employers.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:44 -0400] "GET /pix/sidebutton_01b.gif HTTP/1.1" 200 496 "http://menziessearch.com/01employers.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:44 -0400] "GET /pix/sidebutton_01c.gif HTTP/1.1" 200 806 "http://menziessearch.com/01employers.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:44 -0400] "GET /pix/whenshoefits.gif HTTP/1.1" 200 673 "http://menziessearch.com/01employers.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:44 -0400] "GET /pix/sidebutton_01a-over.gif HTTP/1.1" 200 1196 "http://menziessearch.com/01employers.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:44 -0400] "GET /pix/sidebutton_01b-over.gif HTTP/1.1" 200 437 "http://menziessearch.com/01employers.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
204.221.51.254 - - [19/Jun/2006:18:19:44 -0400] "GET /pix/sidebutton_01c-over.gif HTTP/1.1" 200 743 "http://menziessearch.com/01employers.html" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.12 (KHTML, like Gecko) Safari/416.13"
72.30.252.138 - - [19/Jun/2006:18:50:55 -0400] "GET /robots.txt HTTP/1.0" 404 1461 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.129.122 - - [19/Jun/2006:18:50:55 -0400] "GET / HTTP/1.0" 304 - "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.252.138 - - [19/Jun/2006:22:21:58 -0400] "GET /robots.txt HTTP/1.0" 404 1461 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.110.14 - - [19/Jun/2006:22:22:09 -0400] "GET /index.html HTTP/1.0" 304 - "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
